id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
230068;ORANGE;692259;5G NR 3500;;075;75111;5G;2023-01-18;0752290489;17;37;9;"";61 r de la Folie Regnault;"";"";75011;75111;"48.861388888889, 2.385277777778";48°51'41''N 2°23'7''E;Projet approuvé
230247;ORANGE;689824;5G NR 3500;;075;75112;5G;2023-01-18;0752290405;38;35;2;"";76-82 r de picpus;"";"";75012;75112;"48.841944444444, 2.397222222222";48°50'31''N 2°23'50''E;Projet approuvé
230345;ORANGE;693045;5G NR 3500;;075;75118;5G;2023-01-18;0752291469;38;30;9;"";8 R Nicolet;"";"";75018;75118;"48.888333333333, 2.346111111111";48°53'18''N 2°20'46''E;Projet approuvé
230438;ORANGE;695278;5G NR 3500;;075;75118;5G;2023-01-18;0752290459;38;45;28;"";163 R DES POISSONNIERS;"";"";75018;75118;"48.8975, 2.352222222222";48°53'51''N 2°21'8''E;Projet approuvé
230458;ORANGE;695362;5G NR 3500;;075;75118;5G;2023-01-18;0752290045;38;30;19;"";18/20 bd  de la Chapelle;"";"";75018;75118;"48.885, 2.362222222222";48°53'6''N 2°21'44''E;Projet approuvé
232552;ORANGE;772828;5G NR 3500;;075;75110;5G;2023-01-18;0752291165;38;23;9;"";64 bd Magenta;"";"";75010;75110;"48.874166666667, 2.358333333333";48°52'27''N 2°21'30''E;Projet approuvé
242153;ORANGE;806005;5G NR 3500;;075;75114;5G;2023-01-18;0752291495;38;28;29;"";5 r montbrun;"";"";75014;75114;"48.829444444444, 2.33";48°49'46''N 2°19'48''E;Projet approuvé
248530;ORANGE;782523;5G NR 3500;;075;75105;5G;2023-01-18;0752291865;38;35;15;"";4 PL JUSSIEU;ACCÈS À LA TOUR N°16;"";75005;75105;"48.846944444444, 2.354722222222";48°50'49''N 2°21'17''E;Projet approuvé
255623;ORANGE;813647;5G NR 3500;;075;75103;5G;2023-01-18;0752290166;38;25;29;"";5 r barbette;"";"";75003;75103;"48.858611111111, 2.361111111111";48°51'31''N 2°21'40''E;Projet approuvé
255814;ORANGE;813660;5G NR 3500;;075;75116;5G;2023-01-18;0752290021;17;33;16;"";29 r des sablons;CENTRAL PASSY;"";75116;75116;"48.864444444444, 2.283055555556";48°51'52''N 2°16'59''E;Projet approuvé
256082;ORANGE;814220;5G NR 3500;;075;75116;5G;2023-01-18;0752291049;38;33.3;21;"";7 pl d' iéna;"";"";75116;75116;"48.864166666667, 2.293611111111";48°51'51''N 2°17'37''E;Projet approuvé
256265;ORANGE;814251;5G NR 3500;;075;75105;5G;2023-01-18;0752290219;38;31;9;"";78 bd  St Marcel;"";"";75005;75105;"48.8375, 2.353333333333";48°50'15''N 2°21'12''E;Projet approuvé
256308;ORANGE;814295;5G NR 3500;;075;75112;5G;2023-01-18;0752290425;38;48;9;"";54 quai de la Rapée;"";"";75012;75112;"48.8425, 2.372222222222";48°50'33''N 2°22'20''E;Projet approuvé
256487;ORANGE;814319;5G NR 3500;;075;75106;5G;2023-01-18;0752290441;38;35;9;"";37 r du cherche midi;"";"";75006;75106;"48.849722222222, 2.326944444444";48°50'59''N 2°19'37''E;Projet approuvé
256518;ORANGE;814339;5G NR 3500;;075;75104;5G;2023-01-18;0752290447;38;26;29;"";8/10 r de Rivoli;"";"";75004;75104;"48.855277777778, 2.361111111111";48°51'19''N 2°21'40''E;Projet approuvé
256747;ORANGE;814962;5G NR 3500;;075;75110;5G;2023-01-18;0752291283;38;34;28;"";126 Bd Magenta;R de Dunkerque;"";75010;75110;"48.88, 2.353055555556";48°52'48''N 2°21'11''E;Projet approuvé
256944;ORANGE;814362;5G NR 3500;;075;75109;5G;2023-01-18;0752290470;38;32;22;"";5 r de Monthyon;"";"";75009;75109;"48.873055555556, 2.344444444444";48°52'23''N 2°20'40''E;Projet approuvé
256974;ORANGE;814374;5G NR 3500;;075;75110;5G;2023-01-18;0752290474;38;26.7;9;"";15 r bichat;"";"";75010;75110;"48.870555555556, 2.368333333333";48°52'14''N 2°22'6''E;Projet approuvé
256991;ORANGE;814378;5G NR 3500;;075;75109;5G;2023-01-18;0752290481;38;24;9;"";1 r mansart;"";"";75009;75109;"48.881944444444, 2.333611111111";48°52'55''N 2°20'1''E;Projet approuvé
257640;ORANGE;815058;5G NR 3500;;075;75116;5G;2023-01-18;0752291345;38;31;9;"";22 av du président kennedy;"";"";75116;75116;"48.856666666667, 2.285555555556";48°51'24''N 2°17'8''E;Projet approuvé
259718;ORANGE;1790400;5G NR 3500;;075;75118;5G;2023-01-18;0752292033;38;29.8;28;"";5 rue André Messager;"";"";75018;75118;"48.895, 2.342777777778";48°53'42''N 2°20'34''E;Projet approuvé
260632;ORANGE;1044949;5G NR 3500;;075;75109;5G;2023-01-18;0752291577;17;26;29;"";52 rue de la Victoire;"";"";75009;75109;"48.875277777778, 2.335";48°52'31''N 2°20'6''E;Projet approuvé
261489;ORANGE;1028859;5G NR 3500;;075;75120;5G;2023-01-18;0752291566;38;28.6;22;"";43 rue de la Chine;"";"";75020;75120;"48.868888888889, 2.396944444444";48°52'8''N 2°23'49''E;Projet approuvé
262011;ORANGE;1084441;5G NR 3500;;075;75109;5G;2023-01-18;0752291585;17;26;22;"";20 rue Gérando;"";"";75009;75109;"48.883055555556, 2.346666666667";48°52'59''N 2°20'48''E;Projet approuvé
262371;ORANGE;1040312;5G NR 3500;;075;75115;5G;2023-01-18;0752291570;38;38.6;9;"";"159/169, rue blomet";"";"";75015;75115;"48.8375, 2.294722222222";48°50'15''N 2°17'41''E;Projet approuvé
262379;ORANGE;1040782;5G NR 3500;;075;75111;5G;2023-01-18;0752291569;17;29;29;"";15 rue Breguet;"";"";75011;75111;"48.857777777778, 2.372777777778";48°51'28''N 2°22'22''E;Projet approuvé
265570;ORANGE;911761;5G NR 3500;;075;75109;5G;2023-01-18;0752291515;38;35;9;"";"7, r caumartin";"";"";75009;75109;"48.870555555556, 2.327777777778";48°52'14''N 2°19'40''E;Projet approuvé
268500;ORANGE;834384;5G NR 3500;;075;75109;5G;2023-01-18;0752291906;17;39.5;29;"";"10, 12 R JEAN BAPTISTE PIGALLE";PARC TRINITE;"";75009;75109;"48.878333333333, 2.333333333333";48°52'42''N 2°20'0''E;Projet approuvé
268801;ORANGE;1472112;5G NR 3500;;075;75116;5G;2023-01-18;0752291173;38;36;9;"";12-16 AVENUE PAUL DOUMER;"";"";75116;75116;"48.861111111111, 2.283611111111";48°51'40''N 2°17'1''E;Projet approuvé
269516;ORANGE;1501786;5G NR 3500;;075;75115;5G;2023-01-18;0752291894;38;37.6;28;"";14 Bd de Vaugirard;"";"";75015;75115;"48.841944444444, 2.319444444444";48°50'31''N 2°19'10''E;Projet approuvé
270584;ORANGE;1523669;5G NR 3500;;075;75110;5G;2023-01-18;0752291905;17;31;9;"";20 rue des Petits Hotels;"";"";75010;75110;"48.8775, 2.353611111111";48°52'39''N 2°21'13''E;Projet approuvé
271296;ORANGE;1529482;5G NR 3500;;075;75114;5G;2023-01-18;0752290139;38;32;28;"";148 AV DU MAINE;"";"";75014;75114;"48.834166666667, 2.323888888889";48°50'3''N 2°19'26''E;Projet approuvé
273766;ORANGE;1319201;5G NR 3500;;075;75113;5G;2023-01-18;0752291659;38;36;9;"";156 r léon maurice nordmann;"";"";75013;75113;"48.833333333333, 2.341666666667";48°50'0''N 2°20'30''E;Projet approuvé
273884;ORANGE;1323572;5G NR 3500;;075;75114;5G;2023-01-18;0752291661;38;26;9;"";"101, Bd Louis Arago";"";"";75014;75114;"48.834166666667, 2.333611111111";48°50'3''N 2°20'1''E;Projet approuvé
274584;ORANGE;1344862;5G NR 3500;;075;75116;5G;2023-01-18;0752291536;38;36;9;"";30 R FELICIEN DAVID;"";"";75116;75116;"48.848888888889, 2.273333333333";48°50'56''N 2°16'24''E;Projet approuvé
275988;ORANGE;1399751;5G NR 3500;;075;75118;5G;2023-01-18;0752291702;38;24;28;"";"15, Avenue de la Porte de Clignancourt";"";"";75018;75118;"48.899166666667, 2.343888888889";48°53'57''N 2°20'38''E;Projet approuvé
